KANWIL;AREA;CABANG;KATEGORI;ASPEK;ELEMENT;SCORE
KANWIL MEDAN; AREA BANDA ACEH;CPS BLANG PIDIE;cabang;TOTAL;Total Score;81.22
KANWIL MEDAN; AREA BANDA ACEH;CPS TAPAK TUAN;cabang;TOTAL;Total Score;84.12
KANWIL MAKASAR; AREA AMBON;CP PASSO;cabang;TOTAL;Total Score;88.73
KANWIL MAKASAR; AREA AMBON;CP AMBON;cabang;TOTAL;Total Score;77.37
KANWIL MEDAN; AREA RANTAU PRAPAT;CP KISARAN;cabang;TOTAL;Total Score;70.3
KANWIL BALIKPAPAN; AREA BALIKPAPAN;CPS GUNUNG SARI;cabang;TOTAL;Total Score;75.92
KANWIL BALIKPAPAN; AREA BALIKPAPAN;CP RAPAK;cabang;TOTAL;Total Score;79.98
KANWIL BALIKPAPAN; AREA BALIKPAPAN;CP KAMPUNG BARU;cabang;TOTAL;Total Score;80.99
KANWIL PALEMBANG; AREA LAMPUNG;CP TELUK BETUNG;cabang;TOTAL;Total Score;84.33
KANWIL PALEMBANG; AREA LAMPUNG;CP KEDATON;cabang;TOTAL;Total Score;79.67
KANWIL BANDUNG; AREA BANDUNG 2;CP KIARACONDONG;cabang;TOTAL;Total Score;74.52
KANWIL BANDUNG; AREA BANDUNG 1;CP GEGERKALONG;cabang;TOTAL;Total Score;86.61
KANWIL BANDUNG; AREA BANDUNG 2;CP CIPARAY;cabang;TOTAL;Total Score;82.88
KANWIL BANDUNG; AREA BANDUNG 2;CP PASAR BANJARAN;cabang;TOTAL;Total Score;83.99
KANWIL BANDUNG; AREA BANDUNG 2;CP METRO;cabang;TOTAL;Total Score;83.71
KANWIL BANDUNG; AREA BANDUNG 2;CP BUAH BATU;cabang;TOTAL;Total Score;83.68
KANWIL BANDUNG; AREA BANDUNG 2;CP SAYATI;cabang;TOTAL;Total Score;85.18
KANWIL BANDUNG; AREA BANDUNG 1;CP PUNGKUR;cabang;TOTAL;Total Score;85.84
KANWIL BANDUNG; AREA BANDUNG 1;CP PADALARANG;cabang;TOTAL;Total Score;75.25
KANWIL SURABAYA; AREA PAMEKASAN;CPS BLEGA;cabang;TOTAL;Total Score;68.2
KANWIL SURABAYA; AREA PAMEKASAN;CPS BANGKALAN;cabang;TOTAL;Total Score;78.36
KANWIL BANDUNG; AREA TASIKMALAYA;CP BANJAR;cabang;TOTAL;Total Score;80.15
KANWIL BALIKPAPAN; AREA BANJARMASIN;CP BANJARMASIN;cabang;TOTAL;Total Score;71.74
KANWIL SEMARANG; AREA YOGYAKARTA;CP BANTUL;cabang;TOTAL;Total Score;81.62
KANWIL SEMARANG; AREA PURWOKERTO;CP PURWOKERTO;cabang;TOTAL;Total Score;90.04
KANWIL SEMARANG; AREA PURWOKERTO;CPS PASAR WAGE;cabang;TOTAL;Total Score;88.78
KANWIL PEKANBARU; AREA BATAM;CPS KARINA;cabang;TOTAL;Total Score;93.87
KANWIL PEKANBARU; AREA BATAM;CP SEI JODOH;cabang;TOTAL;Total Score;76.8
KANWIL PEKANBARU; AREA BATAM;CP NAGOYA;cabang;TOTAL;Total Score;77.33
KANWIL PEKANBARU; AREA BATAM;CP BATU AJI;cabang;TOTAL;Total Score;83.51
KANWIL SEMARANG; AREA TEGAL;CP BATANG;cabang;TOTAL;Total Score;77.8
KANWIL JAKARTA 1; AREA BEKASI;CPS ISLAMIC CENTRE;cabang;TOTAL;Total Score;79.18
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP JATIWARINGIN;cabang;TOTAL;Total Score;82.7
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP KEMANG PRATAMA;cabang;TOTAL;Total Score;81.27
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP HARAPAN INDAH;cabang;TOTAL;Total Score;71.56
KANWIL JAKARTA 1; AREA BEKASI;CP BEKASI TIMUR;cabang;TOTAL;Total Score;80.66
KANWIL JAKARTA 1; AREA BEKASI;CP BEKASI UTAMA;cabang;TOTAL;Total Score;76.04
KANWIL JAKARTA 1; AREA JATIWARINGIN;CP GALAXI;cabang;TOTAL;Total Score;76.12
KANWIL PALEMBANG; AREA PALEMBANG;CP TANJUNG PANDAN;cabang;TOTAL;Total Score;75.25
KANWIL PEKANBARU; AREA PEKANBARU;CP DURI;cabang;TOTAL;Total Score;78.13
KANWIL PALEMBANG; AREA JAMBI;CP BENGKULU;cabang;TOTAL;Total Score;90.41
KANWIL SEMARANG; AREA PATI;CP BLORA;cabang;TOTAL;Total Score;91.23
KANWIL JAKARTA 1; AREA BOGOR;CP BOGOR;cabang;TOTAL;Total Score;83.84
KANWIL JAKARTA 1; AREA BOGOR;CP CIBINONG;cabang;TOTAL;Total Score;69.91
KANWIL JAKARTA 1; AREA BOGOR;CP GUNUNG BATU;cabang;TOTAL;Total Score;83.16
KANWIL JAKARTA 1; AREA BOGOR;CPS BOGOR BARU;cabang;TOTAL;Total Score;91.98
KANWIL JAKARTA 1; AREA BOGOR;CP KEDUNGHALANG;cabang;TOTAL;Total Score;79.55
KANWIL SURABAYA; AREA JEMBER;CP BONDOWOSO;cabang;TOTAL;Total Score;73.63
KANWIL BALIKPAPAN; AREA TARAKAN;CPS BONTANG;cabang;TOTAL;Total Score;75.13
KANWIL BALIKPAPAN; AREA TARAKAN;CP BONTANG;cabang;TOTAL;Total Score;70.6
KANWIL SEMARANG; AREA PURWOKERTO;CP BUMIAYU;cabang;TOTAL;Total Score;84.11
KANWIL SEMARANG; AREA TEGAL;CP BREBES;cabang;TOTAL;Total Score;83.12
KANWIL MAKASAR; AREA BANTAENG;CPS UJUNG BULU;cabang;TOTAL;Total Score;95.47
KANWIL MAKASAR; AREA BANTAENG;CP BONTOBAHARI;cabang;TOTAL;Total Score;98.47
KANWIL MAKASAR; AREA BANTAENG;CP BULUKUMBA;cabang;TOTAL;Total Score;97.92
KANWIL BANDUNG; AREA BANDUNG 1;CP CIANJUR;cabang;TOTAL;Total Score;83.61
KANWIL SEMARANG; AREA PURWOKERTO;CP CILACAP;cabang;TOTAL;Total Score;77.16
KANWIL JAKARTA 2; AREA TANGERANG;CP CILEGON;cabang;TOTAL;Total Score;85.16
KANWIL BANDUNG; AREA BANDUNG 1;CP CIMINDI;cabang;TOTAL;Total Score;82.33
KANWIL BANDUNG; AREA BANDUNG 1;CP CIMAHI;cabang;TOTAL;Total Score;80.07
KANWIL BANDUNG; AREA CIREBON;CP LOSARI;cabang;TOTAL;Total Score;88.13
KANWIL BANDUNG; AREA CIREBON;CP KLAYAN;cabang;TOTAL;Total Score;93.77
KANWIL BANDUNG; AREA CIREBON;CP PLERED;cabang;TOTAL;Total Score;85.92
KANWIL MEDAN; AREA MEDAN 1;CP SIDIKALANG;cabang;TOTAL;Total Score;74.15
KANWIL MEDAN; AREA MEDAN 1;CP PANCUR BATU;cabang;TOTAL;Total Score;77.38
KANWIL MEDAN; AREA MEDAN 2;CP LUBUK PAKAM;cabang;TOTAL;Total Score;68.89
KANWIL MEDAN; AREA MEDAN 2;CP TANJUNG MORAWA;cabang;TOTAL;Total Score;81.12
KANWIL DENPASAR; AREA DENPASAR 2;CP RENON;cabang;TOTAL;Total Score;87.39
KANWIL DENPASAR; AREA DENPASAR 2;CP KRENENG;cabang;TOTAL;Total Score;86.72
KANWIL DENPASAR; AREA DENPASAR 2;CP TOHPATI;cabang;TOTAL;Total Score;79.27
KANWIL DENPASAR; AREA DENPASAR 2;CPS GATOT SUBROTO;cabang;TOTAL;Total Score;77.33
KANWIL JAKARTA 1; AREA BOGOR;CP CISALAK;cabang;TOTAL;Total Score;75.1
KANWIL JAKARTA 1; AREA BOGOR;CP PANCORAN MAS;cabang;TOTAL;Total Score;77.23
KANWIL DENPASAR; AREA DOMPU;CP DOMPU;cabang;TOTAL;Total Score;70.35
KANWIL DENPASAR; AREA DOMPU;CPS PASAR GINTE;cabang;TOTAL;Total Score;80.35
