KANWIL;AREA;CABANG;TIPE;ASPEK;ELEMENT;SCORE
KANWIL MEDAN;AREA MEDAN 2;CP PRINGGAN;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL MEDAN;AREA MEDAN 2;CP SIMPANG LIMUN;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL MEDAN;AREA MEDAN 2;CP PASAR MERAH;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 2;CP MANDALA;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA MEDAN 1;CPS AR.HAKIM;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 2;CP SETIA BUDI;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP KEMANG PRATAMA;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP GALAXI;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL JAKARTA 1;AREA SENEN;CP CEMPAKA PUTIH;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL JAKARTA 1;AREA SENEN;CP SALEMBA;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA BANDUNG 2;CP KIARACONDONG;KONVEN;FRONTLINER;FRONTLINER;50
KANWIL JAKARTA 1;AREA SENEN;CP PASAR BARU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA SENEN;CP PASAR SENEN;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL JAKARTA 1;AREA SENEN;CP ITC CEMPAKA MAS;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA SENEN;CPS KRAMAT RAYA;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA TASIKMALAYA;CP CICALENGKA;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL JAKARTA 1;AREA BEKASI;CPS ISLAMIC CENTRE;SYARIAH;FRONTLINER;FRONTLINER;66,66666667
KANWIL BANDUNG;AREA BANDUNG 1;CPS PAJAJARAN;SYARIAH;FRONTLINER;FRONTLINER;83,33333333
KANWIL JAKARTA 1;AREA SENEN;CP PETAMBURAN;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA BANDUNG 2;CP PASAR KORDON;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL BANDUNG;AREA BANDUNG 1;CP CIMAHI;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL BANDUNG;AREA BANDUNG 1;CP PUNGKUR;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL BANDUNG;AREA BANDUNG 1;CPS SITUSAEUR;SYARIAH;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA MEDAN 2;CP PADANG BULAN;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA MEDAN 2;CPS SETIA BUDI;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 2;CP SUBANG;KONVEN;FRONTLINER;FRONTLINER;95,83333333
KANWIL BANDUNG;AREA CIREBON;CP PAMANUKAN;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL MEDAN;AREA MEDAN 1;CP MEDAN UTAMA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 2;CP SUCI;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL MEDAN;AREA MEDAN 1;CP LABUHAN DELI;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA BANDA ACEH;CPS BANDA ACEH;SYARIAH;FRONTLINER;FRONTLINER;75
KANWIL BANDUNG;AREA BANDUNG 1;CP CIMINDI;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL JAKARTA 1;AREA JATIWARINGIN;CPS PLAZA THB;SYARIAH;FRONTLINER;FRONTLINER;91,66666667
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK UNGU;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP KRANJI;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL MEDAN;AREA MEDAN 1;CP KP LALANG;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL JAKARTA 1;AREA BEKASI;CP BEKASI UTAMA;KONVEN;FRONTLINER;FRONTLINER;79,16666667
KANWIL BANDUNG;AREA BANDUNG 2;CP SAYATI;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL JAKARTA 1;AREA BEKASI;CP BEKASI TIMUR;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA CIREBON;CPS CIPTO;SYARIAH;FRONTLINER;FRONTLINER;87,5
KANWIL JAKARTA 1;AREA BEKASI;CP SETIA MEKAR;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL BANDUNG;AREA TASIKMALAYA;CP SUMEDANG;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL BANDUNG;AREA TASIKMALAYA;CP SINGAPARNA;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA BANDUNG 1;CPS KEBONJATI SUKABUMI;SYARIAH;FRONTLINER;FRONTLINER;91,66666667
KANWIL BANDUNG;AREA BANDUNG 1;CP SUKABUMI;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL BANDUNG;AREA BANDUNG 2;CP SOREANG;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL BANDUNG;AREA BANDUNG 2;CP CIPARAY;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL BANDUNG;AREA BANDUNG 2;CP PASAR BANJARAN;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL JAKARTA 1;AREA BEKASI;CP CIKARANG;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 1;CP SUKAJADI;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA MEDAN 1;CP GAHARU;KONVEN;FRONTLINER;FRONTLINER;41,66666667
KANWIL MEDAN;AREA MEDAN 1;CP KRAKATAU;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL BANDUNG;AREA TASIKMALAYA;CP TANJUNGSARI;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP PULO BRAYAN;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 2;CPS VETERAN;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP PANCUR BATU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 2;CPS MAJALAYA;SYARIAH;FRONTLINER;FRONTLINER;83,33333333
KANWIL BANDUNG;AREA BANDUNG 1;CP CIKUDAPATEUH;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL MEDAN;AREA BANDA ACEH;CPS MEULABOH;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA KRAMATJATI;CP PENGGILINGAN;KONVEN;FRONTLINER;FRONTLINER;91,66666667
KANWIL MEDAN;AREA BANDA ACEH;CPS BLANG PIDIE;SYARIAH;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA KRAMATJATI;CP PONDOK KELAPA;KONVEN;FRONTLINER;FRONTLINER;100
KANWIL MEDAN;AREA MEDAN 1;CP MEDAN SUNGGAL;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP HELVETIA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA KRAMATJATI;CP BUARAN;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP MEDAN PETISAH;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KRANGGAN;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK MELATI;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP PKL BRANDAN;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL MAKASAR;AREA MAKASAR 1;CP MALIMONGAN BARU;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL MEDAN;AREA MEDAN 2;CP TEBING TINGGI;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA TASIKMALAYA;CPS PADAYUNGAN;SYARIAH;FRONTLINER;FRONTLINER;62,5
KANWIL MAKASAR;AREA MAKASAR 1;CP DAYA;KONVEN;FRONTLINER;FRONTLINER;58,33333333
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PEMATANG SIANTAR;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA MAKASAR 2;CP PABAENGBAENG;KONVEN;FRONTLINER;FRONTLINER;62,5
KANWIL MAKASAR;AREA MAKASAR 1;CP PASAR BUTUNG;KONVEN;FRONTLINER;FRONTLINER;41,66666667
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PARLUASAN;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL MAKASAR;AREA MAKASAR 2;CP HERTASNING;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL MAKASAR;AREA MAKASAR 2;CP TALASALAPANG;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL MEDAN;AREA MEDAN 2;CP PERBAUNGAN;KONVEN;FRONTLINER;FRONTLINER;75
KANWIL BANDUNG;AREA CIREBON;CP JAMBLANG;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL MEDAN;AREA MEDAN 2;CP SERBALAWAN;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MAKASAR;AREA MAKASAR 2;CP MAKASSAR;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA BANDUNG 1;CP GEGERKALONG;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PADANG SIDEMPUAN;KONVEN;FRONTLINER;FRONTLINER;41,66666667
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PLAZA PONDOK GEDE;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP JATIWARINGIN;KONVEN;FRONTLINER;FRONTLINER;83,33333333
KANWIL JAKARTA 1;AREA BEKASI;CP KALIMALANG;KONVEN;FRONTLINER;FRONTLINER;54,16666667
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK BAMBU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP HARAPAN INDAH;KONVEN;FRONTLINER;FRONTLINER;41,66666667
KANWIL BANDUNG;AREA CIREBON;CP PLERED;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL MAKASAR;AREA MAKASAR 1;CP SUDIANG;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL JAKARTA 1;AREA BEKASI;CPS METRO BOULEVARD CIKARANG;SYARIAH;FRONTLINER;FRONTLINER;91,66666667
KANWIL MAKASAR;AREA MAKASAR 1;CP ANTANG;KONVEN;FRONTLINER;FRONTLINER;70,83333333
KANWIL BANDUNG;AREA TASIKMALAYA;CPS GUNTUR GARUT;SYARIAH;FRONTLINER;FRONTLINER;58,33333333
KANWIL MAKASAR;AREA AMBON;CP NUSANIWE;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA TASIKMALAYA;CP JATIWANGI;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL MEDAN;AREA RANTAU PRAPAT;CP SIBOLGA;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL BANDUNG;AREA TASIKMALAYA;CP GARUT;KONVEN;FRONTLINER;FRONTLINER;87,5
KANWIL BANDUNG;AREA TASIKMALAYA;CP CIBATU;KONVEN;FRONTLINER;FRONTLINER;0
KANWIL MEDAN;AREA MEDAN 1;CP KABANJAHE;KONVEN;FRONTLINER;FRONTLINER;66,66666667
KANWIL BANDUNG;AREA BANDUNG 1;CP PADALARANG;KONVEN;FRONTLINER;FRONTLINER;70,83333333
